"Feature","Original.Name","Integer.Rep"
"datasource","121","1"
"datasource","132","2"
"datasource","136","3"
"datasource","149","4"
"datasource","172","5"
"datasource","173","6"
"auctioneerID","0","1"
"auctioneerID","1","2"
"auctioneerID","2","3"
"auctioneerID","3","4"
"auctioneerID","4","5"
"auctioneerID","5","6"
"auctioneerID","6","7"
"auctioneerID","7","8"
"auctioneerID","8","9"
"auctioneerID","9","10"
"auctioneerID","10","11"
"auctioneerID","11","12"
"auctioneerID","12","13"
"auctioneerID","13","14"
"auctioneerID","14","15"
"auctioneerID","15","16"
"auctioneerID","16","17"
"auctioneerID","17","18"
"auctioneerID","18","19"
"auctioneerID","19","20"
"auctioneerID","20","21"
"auctioneerID","21","22"
"auctioneerID","22","23"
"auctioneerID","23","24"
"auctioneerID","24","25"
"auctioneerID","25","26"
"auctioneerID","26","27"
"auctioneerID","27","28"
"auctioneerID","28","29"
"auctioneerID","99","30"
"UsageBand","High","1"
"UsageBand","Low","2"
"UsageBand","Medium","3"
"fiModelDesc","100C","1"
"fiModelDesc","104","2"
"fiModelDesc","1066","3"
"fiModelDesc","1066E","4"
"fiModelDesc","1080","5"
"fiModelDesc","1080B","6"
"fiModelDesc","1088","7"
"fiModelDesc","1088CK","8"
"fiModelDesc","1088LT","9"
"fiModelDesc","1088TTL","10"
"fiModelDesc","10B","11"
"fiModelDesc","10C","12"
"fiModelDesc","10DG","13"
"fiModelDesc","110","14"
"fiModelDesc","1105","15"
"fiModelDesc","110S","16"
"fiModelDesc","110TLB","17"
"fiModelDesc","110Z","18"
"fiModelDesc","110Z-2","19"
"fiModelDesc","112","20"
"fiModelDesc","112E","21"
"fiModelDesc","112F","22"
"fiModelDesc","115","23"
"fiModelDesc","1150","24"
"fiModelDesc","1150B","25"
"fiModelDesc","1150BLGP","26"
"fiModelDesc","1150C","27"
"fiModelDesc","1150D","28"
"fiModelDesc","1150E","29"
"fiModelDesc","1150ELT","30"
"fiModelDesc","1150G","31"
"fiModelDesc","1150GLGP","32"
"fiModelDesc","1150GLT","33"
"fiModelDesc","1150H","34"
"fiModelDesc","1150HLGP","35"
"fiModelDesc","1150HLT","36"
"fiModelDesc","1150HWT","37"
"fiModelDesc","1150K","38"
"fiModelDesc","1150KLGPSERIES3","39"
"fiModelDesc","1150KWT","40"
"fiModelDesc","1150KXLT","41"
"fiModelDesc","1150KXLTIII","42"
"fiModelDesc","115SRDZ","43"
"fiModelDesc","115Z","44"
"fiModelDesc","115ZIII","45"
"fiModelDesc","115ZIV","46"
"fiModelDesc","115ZIV-2","47"
"fiModelDesc","115ZV","48"
"fiModelDesc","116","49"
"fiModelDesc","1166","50"
"fiModelDesc","118","51"
"fiModelDesc","1187C","52"
"fiModelDesc","1188","53"
"fiModelDesc","1188LC","54"
"fiModelDesc","1188P","55"
"fiModelDesc","118B","56"
"fiModelDesc","118C","57"
"fiModelDesc","11B","58"
"fiModelDesc","11C","59"
"fiModelDesc","12","60"
"fiModelDesc","120","61"
"fiModelDesc","120B","62"
"fiModelDesc","120C","63"
"fiModelDesc","120CLC","64"
"fiModelDesc","120D","65"
"fiModelDesc","120E","66"
"fiModelDesc","120G","67"
"fiModelDesc","120H","68"
"fiModelDesc","120HNA","69"
"fiModelDesc","120LC","70"
"fiModelDesc","120M      ","71"
"fiModelDesc","125","72"
"fiModelDesc","125A","73"
"fiModelDesc","125B","74"
"fiModelDesc","125C","75"
"fiModelDesc","125CKBNA","76"
"fiModelDesc","1280","77"
"fiModelDesc","1280B","78"
"fiModelDesc","1288","79"
"fiModelDesc","12E","80"
"fiModelDesc","12F","81"
"fiModelDesc","12G","82"
"fiModelDesc","12H","83"
"fiModelDesc","12HNA","84"
"fiModelDesc","12JX","85"
"fiModelDesc","130","86"
"fiModelDesc","1300","87"
"fiModelDesc","1300D","88"
"fiModelDesc","130G","89"
"fiModelDesc","130LC","90"
"fiModelDesc","130LX","91"
"fiModelDesc","1340XL","92"
"fiModelDesc","135","93"
"fiModelDesc","135C","94"
"fiModelDesc","135CRTS","95"
"fiModelDesc","135H","96"
"fiModelDesc","135HNA","97"
"fiModelDesc","135MSR SPIN ACE","98"
"fiModelDesc","135SR","99"
"fiModelDesc","135SRLC","100"
"fiModelDesc","137","101"
"fiModelDesc","14","102"
"fiModelDesc","140","103"
"fiModelDesc","1400","104"
"fiModelDesc","1400B","105"
"fiModelDesc","140G","106"
"fiModelDesc","140H","107"
"fiModelDesc","140HNA","108"
"fiModelDesc","140SRLC","109"
"fiModelDesc","143H","110"
"fiModelDesc","1450","111"
"fiModelDesc","1450B","112"
"fiModelDesc","14B","113"
"fiModelDesc","14C","114"
"fiModelDesc","14D","115"
"fiModelDesc","14E","116"
"fiModelDesc","14G","117"
"fiModelDesc","14H","118"
"fiModelDesc","15","119"
