"Feature.Name","Integer.Version","Orignal.Version"
"UsageBand","1","High"
"UsageBand","2","Low"
"UsageBand","3","Medium"
"fiModelDesc","1","100C"
"fiModelDesc","2","104"
"fiModelDesc","3","1066"
"fiModelDesc","4","1066E"
"fiModelDesc","5","1080"
"fiModelDesc","6","1080B"
"fiModelDesc","7","1088"
"fiModelDesc","8","1088CK"
"fiModelDesc","9","1088LT"
"fiModelDesc","10","1088TTL"
"fiModelDesc","11","10B"
"fiModelDesc","12","10C"
"fiModelDesc","13","10DG"
"fiModelDesc","14","110"
"fiModelDesc","15","1105"
"fiModelDesc","16","110S"
"fiModelDesc","17","110TLB"
"fiModelDesc","18","110Z"
"fiModelDesc","19","110Z-2"
"fiModelDesc","20","112"
"fiModelDesc","21","112E"
"fiModelDesc","22","112F"
"fiModelDesc","23","115"
"fiModelDesc","24","1150"
"fiModelDesc","25","1150B"
"fiModelDesc","26","1150BLGP"
"fiModelDesc","27","1150C"
"fiModelDesc","28","1150D"
"fiModelDesc","29","1150E"
"fiModelDesc","30","1150ELT"
"fiModelDesc","31","1150G"
"fiModelDesc","32","1150GLGP"
"fiModelDesc","33","1150GLT"
"fiModelDesc","34","1150H"
"fiModelDesc","35","1150HLGP"
"fiModelDesc","36","1150HLT"
"fiModelDesc","37","1150HWT"
"fiModelDesc","38","1150K"
"fiModelDesc","39","1150KLGP"
"fiModelDesc","40","1150KLGPSERIES3"
"fiModelDesc","41","1150KWT"
"fiModelDesc","42","1150KXLT"
"fiModelDesc","43","1150KXLTIII"
"fiModelDesc","44","115SRDZ"
"fiModelDesc","45","115Z"
"fiModelDesc","46","115ZIII"
"fiModelDesc","47","115ZIV"
"fiModelDesc","48","115ZIV-2"
"fiModelDesc","49","115ZV"
"fiModelDesc","50","116"
"fiModelDesc","51","1166"
"fiModelDesc","52","118"
"fiModelDesc","53","1187C"
"fiModelDesc","54","1188"
"fiModelDesc","55","1188LC"
"fiModelDesc","56","1188P"
"fiModelDesc","57","118B"
"fiModelDesc","58","118C"
"fiModelDesc","59","11B"
"fiModelDesc","60","11C"
"fiModelDesc","61","12"
"fiModelDesc","62","120"
"fiModelDesc","63","120B"
"fiModelDesc","64","120C"
"fiModelDesc","65","120CLC"
"fiModelDesc","66","120D"
"fiModelDesc","67","120E"
"fiModelDesc","68","120G"
"fiModelDesc","69","120H"
"fiModelDesc","70","120HNA"
"fiModelDesc","71","120LC"
"fiModelDesc","72","120M      "
"fiModelDesc","73","125"
"fiModelDesc","74","125A"
"fiModelDesc","75","125B"
"fiModelDesc","76","125C"
"fiModelDesc","77","125CKBNA"
"fiModelDesc","78","1280"
"fiModelDesc","79","1280B"
"fiModelDesc","80","1288"
"fiModelDesc","81","12E"
"fiModelDesc","82","12F"
"fiModelDesc","83","12G"
"fiModelDesc","84","12H"
"fiModelDesc","85","12HNA"
"fiModelDesc","86","12JX"
"fiModelDesc","87","130"
"fiModelDesc","88","1300"
"fiModelDesc","89","1300D"
"fiModelDesc","90","130G"
"fiModelDesc","91","130LC"
"fiModelDesc","92","130LX"
"fiModelDesc","93","1340XL"
"fiModelDesc","94","135"
"fiModelDesc","95","135C"
"fiModelDesc","96","135CRTS"
"fiModelDesc","97","135H"
"fiModelDesc","98","135HNA"
"fiModelDesc","99","135MSR SPIN ACE"
"fiModelDesc","100","135SR"
"fiModelDesc","101","135SRLC"
"fiModelDesc","102","137"
"fiModelDesc","103","14"
"fiModelDesc","104","140"
"fiModelDesc","105","1400"
"fiModelDesc","106","1400B"
"fiModelDesc","107","140G"
"fiModelDesc","108","140H"
"fiModelDesc","109","140HNA"
"fiModelDesc","110","140SRLC"
"fiModelDesc","111","143H"
"fiModelDesc","112","1450"
"fiModelDesc","113","1450B"
"fiModelDesc","114","14B"
"fiModelDesc","115","14C"
"fiModelDesc","116","14D"
"fiModelDesc","117","14E"
"fiModelDesc","118","14G"
"fiModelDesc","119","14H"
"fiModelDesc","120","15"
"fiModelDesc","121","150"
"fiModelDesc","122","1500"
"fiModelDesc","123","1500D"
"fiModelDesc","124","1500DX"
"fiModelDesc","125","1500Z"
"fiModelDesc","126","150C"
"fiModelDesc","127","153"
"fiModelDesc","128","155"
"fiModelDesc","129","1550"
"fiModelDesc","130","1550B"
"fiModelDesc","131","1550LT"
"fiModelDesc","132","1550XL"
"fiModelDesc","133","15NX"
"fiModelDesc","134","15NX2"
"fiModelDesc","135","16"
"fiModelDesc","136","160"
"fiModelDesc","137","1600"
"fiModelDesc","138","160CK"
"fiModelDesc","139","160CLC"
"fiModelDesc","140","160DLC"
"fiModelDesc","141","160H"
"fiModelDesc","142","160HNA"
"fiModelDesc","143","160L"
"fiModelDesc","144","160LC"
"fiModelDesc","145","160LX"
"fiModelDesc","146","160XII"
"fiModelDesc","147","163H"
"fiModelDesc","148","165"
"fiModelDesc","149","1650K"
"fiModelDesc","150","1650KLGP"
"fiModelDesc","151","1650KLT"
"fiModelDesc","152","1650KXLT"
"fiModelDesc","153","1650LGP"
"fiModelDesc","154","1650XLT"
"fiModelDesc","155","166"
"fiModelDesc","156","16B"
"fiModelDesc","157","16G"
"fiModelDesc","158","170"
"fiModelDesc","159","1700"
"fiModelDesc","160","1700B"
"fiModelDesc","161","1700C"
"fiModelDesc","162","1700CX"
"fiModelDesc","163","170B"
"fiModelDesc","164","170C"
"fiModelDesc","165","170CKB"
"fiModelDesc","166","1737"
"fiModelDesc","167","1740"
"fiModelDesc","168","175"
"fiModelDesc","169","1750D"
"fiModelDesc","170","175B"
"fiModelDesc","171","175C"
"fiModelDesc","172","1760XL"
"fiModelDesc","173","17D"
"fiModelDesc","174","17NE"
"fiModelDesc","175","17ZTS"
"fiModelDesc","176","1800C"
"fiModelDesc","177","1818"
"fiModelDesc","178","1825"
"fiModelDesc","179","1825B"
"fiModelDesc","180","1830"
"fiModelDesc","181","1835"
"fiModelDesc","182","1835B"
"fiModelDesc","183","1835C"
"fiModelDesc","184","1838"
"fiModelDesc","185","1840"
"fiModelDesc","186","1840C"
"fiModelDesc","187","1845"
"fiModelDesc","188","1845B"
"fiModelDesc","189","1845C"
"fiModelDesc","190","185"
"fiModelDesc","191","1850"
"fiModelDesc","192","1850K"
"fiModelDesc","193","1850KLGP"
"fiModelDesc","194","1850KLT"
"fiModelDesc","195","1850KLTSERIES3"
"fiModelDesc","196","1850KXLT"
"fiModelDesc","197","1850KXLTSERIES3"
"fiModelDesc","198","18J"
"fiModelDesc","199","190"
"fiModelDesc","200","1900"
"fiModelDesc","201","1900C"
"fiModelDesc","202","1900Z"
"fiModelDesc","203","190E"
"fiModelDesc","204","190ELC"
"fiModelDesc","205","198T"
"fiModelDesc","206","1CX"
"fiModelDesc","207","200"
"fiModelDesc","208","2000"
"fiModelDesc","209","2000C"
"fiModelDesc","210","2000D"
"fiModelDesc","211","2000DX"
"fiModelDesc","212","2000Z"
"fiModelDesc","213","200B"
"fiModelDesc","214","200C"
"fiModelDesc","215","200CLC"
"fiModelDesc","216","200CLL"
"fiModelDesc","217","200D"
"fiModelDesc","218","200DLC"
"fiModelDesc","219","200ELC"
"fiModelDesc","220","200G"
"fiModelDesc","221","200LC"
"fiModelDesc","222","200LCM2"
"fiModelDesc","223","200SR"
"fiModelDesc","224","200SRLC"
"fiModelDesc","225","2022"
"fiModelDesc","226","2026"
"fiModelDesc","227","2040"
"fiModelDesc","228","2042"
"fiModelDesc","229","2044"
"fiModelDesc","230","2050"
"fiModelDesc","231","2054"
"fiModelDesc","232","205LC"
"fiModelDesc","233","2060"
"fiModelDesc","234","2060XL"
"fiModelDesc","235","2064"
"fiModelDesc","236","2066"
"fiModelDesc","237","2070"
"fiModelDesc","238","2074"
"fiModelDesc","239","2076"
"fiModelDesc","240","2086"
"fiModelDesc","241","208S"
"fiModelDesc","242","2095"
"fiModelDesc","243","2099"
"fiModelDesc","244","20H"
"fiModelDesc","245","20JX"
"fiModelDesc","246","20NX"
"fiModelDesc","247","210"
"fiModelDesc","248","2105"
"fiModelDesc","249","2109"
"fiModelDesc","250","210C"
"fiModelDesc","251","210LE"
"fiModelDesc","252","210LE4WD"
"fiModelDesc","253","210LX"
"fiModelDesc","254","210S"
"fiModelDesc","255","210S2"
"fiModelDesc","256","210SL"
"fiModelDesc","257","210SU"
"fiModelDesc","258","210XII"
"fiModelDesc","259","211"
"fiModelDesc","260","211LC"
"fiModelDesc","261","212S"
"fiModelDesc","262","212S2"
"fiModelDesc","263","212S3"
"fiModelDesc","264","212SL"
"fiModelDesc","265","212SU"
"fiModelDesc","266","213BLC"
"fiModelDesc","267","213LC"
"fiModelDesc","268","214"
"fiModelDesc","269","2143"
"fiModelDesc","270","214B"
"fiModelDesc","271","214C"
"fiModelDesc","272","214E"
"fiModelDesc","273","2.14E+04"
"fiModelDesc","274","2.14E+05"
"fiModelDesc","275","2.14E+06"
"fiModelDesc","276","214E4WD"
"fiModelDesc","277","214L"
"fiModelDesc","278","214S"
"fiModelDesc","279","214SE"
"fiModelDesc","280","214SII"
"fiModelDesc","281","214SIII"
